ID,Title,Source,Format,isPartOf,Type,isFormatOf ,isRequiredBy 
55,3461f21_Resource-Design-IV-b.md,EECS3461,.md,ResourcePacks,mER,,
56,3461f21_Module01_CM03.md,EECS3461,.md,Module_03_Ideation-Generating_Alternatives_I,mER,,
57,Mod10_Ambient or other Third-Paradigm Systems.md,EECS3461,.md,Module_10_Third_Paradigm_HCI,mER,,
58,3461f21_Module01_CM04.pdf,EECS3461,.pdf,Module_04_Prototyping_I,iER,,
59,3461f21_Resource-Design-IV.pdf,EECS3461,.pdf,ResourcePacks,iER,,
60,3461f21_Resource-Interaction-IV.pdf,EECS3461,.pdf,ResourcePacks,iER,,
61,3461f21_Resource-Technosocial-I.pdf,EECS3461,.pdf,ResourcePacks,iER,,
62,3461f21_Resource-Humans-III_revised.pdf,EECS3461,.pdf,ResourcePacks,iER,,
63,3461f21_Resource-Humans-II.pdf,EECS3461,.pdf,ResourcePacks,iER,,
64,3461f21_Resource-Interaction-V.pdf,EECS3461,.pdf,ResourcePacks,iER,,
65,3461f21_Resource-Interaction-III.pdf,EECS3461,.pdf,ResourcePacks,iER,,
66,3461f21_Resource-Design-VI.pdf,EECS3461,.pdf,ResourcePacks,iER,,
67,3461f21_Resource-Knowledge-I.pdf,EECS3461,.pdf,ResourcePacks,iER,,
68,3461f21_Resource-Design-II-DarkPatterns.pdf,EECS3461,.pdf,ResourcePacks,iER,,
69,3461f21_Resource-Design-I-TeamWork.pdf,EECS3461,.pdf,ResourcePacks,iER,,
70,3461f21_Resource-Interaction-I.pdf,EECS3461,.pdf,ResourcePacks,iER,,
71,3461f21_Resource-Humans-III.pdf,EECS3461,.pdf,ResourcePacks,iER,,
72,3461f21_Resource-Design-V.pdf,EECS3461,.pdf,ResourcePacks,iER,,
73,3461f21_Resource-Design-VIII.pdf,EECS3461,.pdf,ResourcePacks,iER,,
74,3461f21_Resource-Design-III.pdf,EECS3461,.pdf,ResourcePacks,iER,,
75,3461f21_Resource-Design-IV-b.pdf,EECS3461,.pdf,ResourcePacks,iER,,
76,3461f21_Resource-Humans-I.pdf,EECS3461,.pdf,ResourcePacks,iER,,
77,3461f21_Resource-Interaction-II.pdf,EECS3461,.pdf,ResourcePacks,iER,,
78,3461f21_Resource-Design-VII.pdf,EECS3461,.pdf,ResourcePacks,iER,,
79,3461f21_Module01_CM03.pdf,EECS3461,.pdf,Module_03_Ideation-Generating_Alternatives_I,iER,,
80,eecs3461_AY2021-22_f21_CourseSyllabus-v1.pdf,EECS3461,.pdf,Course Syllabus,iER,,
81,3461f21_Module00_CM01.pdf,EECS3461,.pdf,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
82,3461f21_Module02_CM05.pdf,EECS3461,.pdf,Module_05_Evaluating-Testing_I,iER,,
83,3461f21_Module02_CM07.pptx,EECS3461,.pptx,Module_07_Ideation-Generating_Alternatives_II,iER,,
84,3461f21_Module01_CM04.pptx,EECS3461,.pptx,Module_04_Prototyping_I,iER,,
85,3461f21_Resource-Design-I-TeamWork.pptx,EECS3461,.pptx,ResourcePacks,iER,,
86,3461f21_Resource-Interaction-I.pptx,EECS3461,.pptx,ResourcePacks,iER,,
87,3461f21_Resource-Design-VI.pptx,EECS3461,.pptx,ResourcePacks,iER,,
88,3461f21_Resource-Humans-III.pptx,EECS3461,.pptx,ResourcePacks,iER,,
89,~$3461f21_Resource-Interaction-I.pptx,EECS3461,.pptx,ResourcePacks,iER,,
90,3461f21_Resource-Humans-III_revised.pptx,EECS3461,.pptx,ResourcePacks,iER,,
91,3461f21_Resource-Design-V.pptx,EECS3461,.pptx,ResourcePacks,iER,,
92,3461f21_Resource-Design-IV.pptx,EECS3461,.pptx,ResourcePacks,iER,,
93,~$3461f21_Resource-Figma Explainer.pptx,EECS3461,.pptx,ResourcePacks,iER,,
94,3461f21_Resource-Interaction-V.pptx,EECS3461,.pptx,ResourcePacks,iER,,
95,3461f21_Resource-Interaction-III.pptx,EECS3461,.pptx,ResourcePacks,iER,,
96,3461f21_Resource-Humans-II.pptx,EECS3461,.pptx,ResourcePacks,iER,,
97,3461f21_Resource-Design-VII.pptx,EECS3461,.pptx,ResourcePacks,iER,,
98,3461f21_Resource-Design-II-DarkPatterns.pptx,EECS3461,.pptx,ResourcePacks,iER,,
99,3461f21_Resource-Technosocial-I.pptx,EECS3461,.pptx,ResourcePacks,iER,,
100,3461f21_Resource-Humans-I.pptx,EECS3461,.pptx,ResourcePacks,iER,,
101,~$3461f21_Resource-Design-I-TeamWork.pptx,EECS3461,.pptx,ResourcePacks,iER,,
102,3461f21_Resource-Knowledge-I.pptx,EECS3461,.pptx,ResourcePacks,iER,,
103,3461f21_Resource-Design-III.pptx,EECS3461,.pptx,ResourcePacks,iER,,
104,~$3461f21_Resource-Design-IV.pptx,EECS3461,.pptx,ResourcePacks,iER,,
105,3461f21_Resource-Interaction-II.pptx,EECS3461,.pptx,ResourcePacks,iER,,
106,~$3461f21_Resource-Design-VIII.pptx,EECS3461,.pptx,ResourcePacks,iER,,
107,~$3461f21_Resource-Design-III.pptx,EECS3461,.pptx,ResourcePacks,iER,,
108,3461f21_Resource-Figma Explainer.pptx,EECS3461,.pptx,ResourcePacks,iER,,
109,~$3461f21_Resource-Interaction-II.pptx,EECS3461,.pptx,ResourcePacks,iER,,
110,3461f21_Resource-Interaction-IV.pptx,EECS3461,.pptx,ResourcePacks,iER,,
111,3461f21_Resource-Design-VIII.pptx,EECS3461,.pptx,ResourcePacks,iER,,
112,~$3461f21_Resource-Humans-III_revised.pptx,EECS3461,.pptx,ResourcePacks,iER,,
113,3461f21_Module01_CM03.pptx,EECS3461,.pptx,Module_03_Ideation-Generating_Alternatives_I,iER,,
114,~$3461f21_Module02_CM05.pptx,EECS3461,.pptx,Module_02_Research_I,iER,,
115,~$3461f21_Sprint00_CM01.pptx,EECS3461,.pptx,Module_02_Research_I,iER,,
